index,strategy_equity,brent_equity,wti_equity,zscore_20,position,zscore_w10,zscore_w15,zscore_w20,zscore_w30,zscore_w40,zscore_w60,zscore_w90
2023-06-21,1.3932518664130484,1.5094931007291386,1.5230995465380615,0.09786738556767766,-1.0,-0.7954543303286186,-0.33689682507680396,0.09786738556767766,0.5408105554090582,0.799502897249286,0.7036396775721808,-0.3069196141337159
2023-06-22,1.3932518664130484,1.451164595189241,1.459680883984411,0.12205324579401047,0.0,-0.802733751681275,-0.21660138613189078,0.12205324579401047,0.590669882690595,0.8354035664224552,0.8315933520538439,-0.2534795235492394
2023-06-23,1.3932518664130484,1.4454883197016462,1.452331062859431,0.22043351059182417,0.0,-0.5742118007164111,-0.14660255153205348,0.22043351059182417,0.6954392127438591,0.9129884553266744,1.025736521531609,-0.18202325464133964
2023-06-26,1.3932518664130484,1.4519475451874377,1.4567409555344193,0.5542660724216834,0.0,-0.17648200382384796,0.22290729436900625,0.5542660724216834,0.9540608197743503,1.103640886452144,1.3420674068657832,-0.052979014168436665
2023-06-27,1.3932518664130484,1.4143668412686483,1.421671534371084,-0.3290283520740043,0.0,-1.0918777564795112,-0.8090752701967279,-0.3290283520740043,0.24481064153649837,0.5734649650274588,0.8190805549382467,-0.27107515765523643
2023-06-28,1.3932518664130484,1.4490115200273106,1.4607307668799314,-0.7818763970546763,0.0,-1.175804940430365,-1.1320849368316153,-0.7818763970546763,-0.03330469919625166,0.32197382166662497,0.6035373566156758,-0.3401914058983279
2023-06-29,1.3932518664130484,1.4550791958477822,1.467030705109391,-0.7194480964285149,0.0,-0.9366084660615808,-1.132052821637942,-0.7194480964285149,-0.046555066165424826,0.3072436244099112,0.6272761189854771,-0.3123232891094971
2023-06-30,1.3932518664130484,1.4660403464900946,1.483410352249085,-1.6072586164705112,0.0,-1.3463700930175135,-1.7060529324888516,-1.6072586164705112,-0.6935051772290337,-0.294765805816015,0.13794674148381228,-0.5150527276624283
2023-07-03,1.3932518664130484,1.4611470210006967,1.4655607408843951,0.6403258364804693,0.0,0.6009070870468839,0.42545714014351377,0.6403258364804693,0.9734534755735919,1.217228677468985,1.4278175015058556,0.12158014285376777
2023-07-05,1.3932518664130484,1.5002936249158798,1.5075599018432349,0.5802768402644717,0.0,1.2434630763948038,0.38925107890015087,0.5802768402644717,0.9145522651481319,1.1576574222152074,1.390701510988653,0.14834482163779036
2023-07-06,1.3932518664130484,1.4977490000886295,1.5077699425079727,-0.008038592517772941,0.0,0.44267583349394035,-0.08277689847366387,-0.008038592517772941,0.4408870380627952,0.7509048635269624,1.0711208348995391,0.02398115755173992
2023-07-07,1.3932518664130484,1.535917028505399,1.5510290270270704,-0.5043930242537616,0.0,-0.11315580452453826,-0.4112608974828027,-0.5043930242537616,0.02181882577614672,0.41690913380404493,0.8135897746121671,-0.07345168217369821
2023-07-10,1.3932518664130484,1.5206498768716683,1.5327593343329047,-0.13715357484410326,0.0,0.3440233131949577,0.007861245864835007,-0.13715357484410326,0.2739606273914485,0.6316984349516946,0.9751747098921272,0.0585269941780358
2023-07-11,1.3932518664130484,1.5541202052992569,1.571398645726361,-0.663051113666509,0.0,-0.21072438546965383,-0.4353427189804684,-0.663051113666509,-0.22881540223934485,0.22358895564995804,0.6785421876593215,-0.07059681716697892
2023-07-12,1.3932518664130484,1.5680172317692538,1.590718221316047,-1.3776212277024364,0.0,-1.1388617448272433,-1.4545893770925262,-1.3776212277024364,-1.039212261688559,-0.41869272625870657,0.21790100424263936,-0.30694613331486564
2023-07-13,1.3932518664130484,1.5924838592162431,1.6146577302454586,-0.8606120658540453,0.0,-0.5918056124112441,-0.7550765433476526,-0.8606120658540453,-0.724098085818045,-0.11788296344340345,0.43337091686699075,-0.14763970337827595
2023-07-14,1.3932518664130484,1.5633196811125158,1.583788321306458,-0.8481798792475175,0.0,-0.6696110998894588,-0.7820905733136756,-0.8481798792475175,-0.7823731932766972,-0.21458137445570571,0.37307760608532387,-0.15715005419968922
2023-07-17,1.3932518664130484,1.536504203670936,1.557118924591792,-1.1317444380233248,0.0,-1.2996261653600727,-1.1594412022298082,-1.1317444380233248,-1.2586761428200222,-0.5525229760989304,0.1461382754104439,-0.27145895863926683
2023-07-18,1.3932518664130484,1.558621981123335,1.5907182213160467,-2.376893385683468,0.0,-2.270172093017094,-2.533848670960408,-2.376893385683468,-2.7631594978642275,-1.9976118489093826,-0.8660629449245026,-0.8769487090068664
2023-07-19,1.3976346150837173,1.5552945556303308,1.5823183570814618,-1.6675129810944824,1.0,-1.182478220331727,-1.3737708103924642,-1.6675129810944824,-1.758567790769827,-1.2990911359656265,-0.3865051482170734,-0.550371329507758
2023-07-20,1.3956070926373434,1.558817755955995,1.588198213981446,-1.779292458695244,1.0,-1.2620016859402918,-1.488621451617168,-1.779292458695244,-1.9078936421984107,-1.6163574391786424,-0.6052551049201126,-0.6720972069130292
2023-07-21,1.3940938479182294,1.5868075837286486,1.6184376611403175,-1.5881270880598213,1.0,-1.0581452235834328,-1.3170343775795728,-1.5881270880598213,-1.7936186599848811,-1.670049593371247,-0.6446479179344854,-0.6704093974565483
2023-07-24,1.3926033805632287,1.6194949621580403,1.6535069220895682,-1.410471823988869,1.0,-0.8956610320656564,-1.2012591160717128,-1.410471823988869,-1.6420361495196318,-1.6640216628445523,-0.6879166948424514,-0.6563842407257345
2023-07-25,1.3920107595693343,1.6371109637863615,1.6721965358991249,-1.247122690535348,1.0,-0.7018948331057863,-1.0386611040104086,-1.247122690535348,-1.4912774358446745,-1.549540900080413,-0.6924239539269588,-0.6274544226422647
2023-07-26,1.3948866734643917,1.6230181624837046,1.6543469245344349,-0.7422886699293564,1.0,-0.009606472086616835,-0.530754799625679,-0.7422886699293564,-1.0556083743138471,-1.1278012991421718,-0.5039341894141136,-0.4116361671455891
2023-07-27,1.393896861183458,1.6488549150944276,1.6818563236939676,-0.651077214575713,1.0,0.22975592233049447,-0.396418393873647,-0.651077214575713,-0.9616694938509781,-1.1100352202230932,-0.5126227889853877,-0.37721581629621254
2023-07-28,1.3977787916592714,1.6635348915626211,1.6921462334830242,0.20965585047568272,1.0,1.8348822471394057,0.6837939480229792,0.20965585047568272,-0.20104421962987168,-0.30139874790608634,0.1519677053503306,0.10134779345678727
2023-07-31,1.3977787916592714,1.6746916677051504,1.71776574730217,-1.6899649342973784,0.0,-1.6496737077951302,-1.7275588579826913,-1.6899649342973784,-1.8834771357895772,-2.1457040702892294,-1.6385487224710558,-1.063484730591839
2023-08-01,1.3977787916592714,1.66196914089867,1.708735921287456,-2.0434673311502918,0.0,-2.0271188932237516,-2.127803450309254,-2.0434673311502918,-2.2062914695567786,-2.4940660084871658,-2.1590084256448576,-1.4744500791605486
2023-08-02,1.4019236929851953,1.628498663138639,1.6692566074491328,-1.4355986011084576,1.0,-1.0577442008115945,-1.2872649145650177,-1.4355986011084576,-1.7554895329273381,-1.8905128378198521,-1.6683348298684177,-1.158257144254807
2023-08-03,1.3982815828072013,1.6664709167227483,1.712515852182315,-1.610803325614593,1.0,-1.2368643495553593,-1.500847332925347,-1.610803325614593,-1.883465612337087,-2.0179868839565653,-1.936173117177119,-1.4107108133022386
2023-08-04,1.3945714560393352,1.6880015190096103,1.739185248896981,-1.8412954690253374,1.0,-1.4271235085353955,-1.8012704834166804,-1.8412954690253374,-2.074242101115025,-2.208757789107571,-2.3010602220092284,-1.7471039998196471
2023-08-07,1.3948356006115505,1.6703855173812894,1.720705675752162,-1.7169581178724223,1.0,-1.1931164875895284,-1.609183382175301,-1.7169581178724223,-1.9183065978491458,-2.065821063985461,-2.256881934322584,-1.7798238734128071
2023-08-08,1.3917194072289114,1.6866313938458768,1.741285174902106,-1.877921966038759,1.0,-1.2819627456434477,-1.7330426778116714,-1.877921966038759,-2.0496290924898406,-2.1708907440689855,-2.4549167033801194,-2.077411277383169
2023-08-09,1.3891674695011773,1.7136426461201164,1.7723646245058444,-1.8488967137040355,1.0,-1.2448983168957555,-1.6745243053343388,-1.8488967137040355,-2.0296255299877752,-2.1625587848979473,-2.504720638461802,-2.223117024985666
2023-08-10,1.396926014695075,1.6911333190023976,1.7391852488969808,-0.6961321558745025,1.0,-0.002860923989872575,-0.4383522149058865,-0.6961321558745025,-1.0590860296855962,-1.2852585908533434,-1.516778282200028,-1.2608063585297016
2023-08-11,1.3973140406033226,1.6991582951521398,1.7469551513514368,-0.5161472357734622,1.0,0.6039395775896286,-0.2645352456329825,-0.5161472357734622,-0.9140886771202847,-1.1525808173599115,-1.3948788860548265,-1.1479444309438096
2023-08-14,1.3990780574543848,1.6874143438440734,1.7326754302168679,-0.21475271147712244,1.0,1.0889719580421342,0.013264976852514631,-0.21475271147712244,-0.7069279409006639,-0.9580573244851863,-1.1967960002239442,-0.9581119542388629
2023-08-15,1.3990780574543848,1.6615775912333501,1.7007559781682626,0.3825192204248567,0.0,1.6204628541747585,0.6131621674297065,0.3825192204248567,-0.24506666600837904,-0.5406289735509308,-0.7739812227794065,-0.5181482950009886
2023-08-16,1.3990780574543848,1.6333919886280366,1.6669466407792701,0.9040023757090078,0.0,1.7886071126396472,1.138478987312741,0.9040023757090078,0.18834439603322556,-0.15924852919663285,-0.42162859331192293,-0.1459404476339961
2023-08-17,1.3990780574543848,1.6465062144322797,1.6881562619234278,-0.0811425161830676,0.0,0.5186969092939854,0.23718711050582922,-0.0811425161830676,-0.5389533128024439,-0.8286076392839123,-1.1118325498832506,-0.8571590524206475
2023-08-18,1.3990780574543848,1.6598160657367398,1.7062159139528557,-0.5672448021132211,0.0,-0.16067368091344308,-0.20336041649729017,-0.5672448021132211,-0.9139187430978775,-1.1470338730353002,-1.450056215992461,-1.2197987371968209
2023-08-21,1.3990780574543848,1.6531610654182882,1.6950861619330166,0.059688133724477135,0.0,0.4046212921698559,0.6096926096066982,0.059688133724477135,-0.39051284074460957,-0.7091046868262473,-1.0455432197782688,-0.8054840392854943
2023-08-22,1.3990780574543848,1.644744539603226,1.687316259478561,-0.07877423943284786,0.0,0.03335474931268969,0.3142866236058148,-0.07877423943284786,-0.49884430940425545,-0.7960990165773801,-1.130188083713298,-0.9229533554937109
2023-08-23,1.3990780574543848,1.6286944379712989,1.656656891204298,1.8576690860477774,0.0,2.191692201018881,2.2531033901860678,1.8576690860477774,1.3087594757810181,0.6181768810391177,0.15017947978311033,0.4146454237553296
2023-08-24,1.3990780574543848,1.631630463131426,1.6600169009837658,1.7337028151009484,0.0,1.603224436102819,1.79098889488972,1.7337028151009484,1.3272509202353389,0.6092437988888494,0.12257503414872388,0.38464671287605484
2023-08-25,1.3990780574543848,1.653552615083608,1.6763965481234595,2.4898171941924763,0.0,1.9088066728934476,2.1141840506033516,2.4898171941924763,2.204412717837963,1.339361161895074,0.7997107769148574,1.0795192711602595
2023-08-28,1.4048036916098725,1.6523781154200914,1.6820663643587057,1.4290488920071285,-1.0,0.8104182275685323,1.1438641282065887,1.4290488920071285,1.2940338494383659,0.6106636450645819,0.13500862473829753,0.37787569889064493
2023-08-29,1.405588702808051,1.6733215425414165,1.7043260286124682,1.3002282107354555,-1.0,0.7022625029596371,1.0352124822407358,1.3002282107354555,1.2442979832451784,0.6871780004477983,0.15706823118711036,0.3874634160681472
2023-08-30,1.4076449765080792,1.680563718025405,1.7141956968579648,0.9659497106772921,-1.0,0.3853800916116719,0.7011722739789035,0.9659497106772921,0.9533986910539427,0.5187892418911652,-0.03211403754587787,0.16724361131965645
2023-08-31,1.4257387467687919,1.7001370199829964,1.7561948578168043,-1.3299717499047463,-1.0,-1.7837147170614824,-1.8606207938514232,-1.3299717499047463,-1.5936926630045487,-1.7677965881316788,-1.9362139691546851,-1.8885055302954612
2023-09-01,1.4257387467687919,1.7332159480777078,1.7965141740999946,-1.6973023339115636,0.0,-1.8097547589561027,-2.0066087271096493,-1.6973023339115636,-1.956176191378897,-2.1446063881657853,-2.2377689110527337,-2.2883902959645295
2023-09-05,1.4257387467687919,1.7623801261814354,1.8204536830294062,-0.93336309084028,0.0,-1.030654119577809,-1.1392236327398786,-0.93336309084028,-1.0480972391412429,-1.2895908918932164,-1.5231617064622784,-1.5794821948043563
2023-09-06,1.4257387467687919,1.7733411274913047,1.8383032943940962,-1.4922382050411769,0.0,-1.2893583830212496,-1.4853613447034293,-1.4922382050411769,-1.5880268301788278,-1.8537656569320915,-1.9526218610663593,-2.1094908555091356
2023-09-07,1.4257387467687919,1.7600312761868449,1.8242336139242652,-1.4800459908448524,0.0,-1.0579210332084217,-1.2933741535199015,-1.4800459908448524,-1.486427157980359,-1.7572177600248702,-1.8781802084632444,-2.16963967203283
2023-09-08,1.4257387467687919,1.7743198523221615,1.837673332613967,-1.204015241965187,0.0,-0.7532032212714549,-1.0182724139344916,-1.204015241965187,-1.2017394202248717,-1.4774604694410547,-1.6549510878336462,-1.9450649492330674
2023-09-11,1.4257387467687919,1.7741240774895015,1.833053399274241,-0.751487556843182,0.0,-0.28031379968661463,-0.6260199796555181,-0.751487556843182,-0.6935513514234087,-0.9596450732058125,-1.2514809691030087,-1.511279934914489
