date,rv_w5,rv_w10,rv_w20,rv_w30,rv_w40,rv_w60,rv_w90,rv_w120,rv_w180,spy_price
2019-02-13,12.665760770618355,9.742746191192056,11.919816623295207,16.02466687152304,22.523417927329223,22.375031681306073,22.159290268146183,19.3850255525926,16.61774739012435,246.0004425048828
2019-02-14,9.172778946398608,9.395119251625607,12.050645373136994,16.091232307647427,21.87843931161035,22.28480878160886,22.12670609203584,19.38719421275612,16.56197457298684,245.4547882080078
2019-02-15,10.393328761552546,10.429648533195776,12.289644652574621,14.047974881264116,21.974400435958117,22.38639569262163,22.18974954480348,19.452835548685584,16.53723245929853,248.12950134277344
2019-02-19,10.100899535276879,10.147455289345393,11.63350416619026,10.994332900245633,21.519390192071757,22.094134052962662,22.19219121492631,19.434245369390915,16.520826010993353,248.5590057373047
2019-02-20,7.61898356420778,10.084250602816393,10.066517623022667,10.909764971980227,20.956566616773213,21.728436110616492,22.194360310132748,19.40151476574074,16.483138014794598,249.05995178222656
2019-02-21,8.967090707880491,10.34616894280393,10.322780727912091,10.899494091774534,20.134040139786595,21.74326370736167,21.554975043886817,19.407448042982242,16.48038372661552,248.17433166503906
2019-02-22,8.589670973668554,8.38221216444094,10.36709491413544,10.933603532079191,18.59337555932356,21.710398734810674,21.24910879633238,19.412808432706292,16.49562599698695,249.71302795410156
2019-02-25,5.497813369090232,8.372823767493022,10.16613790064035,10.936614195707202,14.32645183102089,21.484991133325504,21.127564751561547,19.405926788647296,16.467746421760644,250.05299377441406
2019-02-26,5.71721434624279,8.5129495944352,9.528863534972972,10.960490778709621,14.312595628252742,21.481432886723553,21.10463889118118,19.406076122021602,16.468052061864373,249.87400817871094
2019-02-27,5.723588973482112,6.704860725654749,9.481424118126322,10.691637456340006,14.297515428814341,20.979283075815545,20.788420803721532,19.404778164626364,16.46487317572241,249.7666473388672
2019-02-28,5.039452722118199,6.895347257025812,8.29473698020247,10.441157833692612,14.271116559344362,20.977649188621093,20.79101151490368,19.402851242949357,16.466000817635265,249.30154418945312
2019-03-01,5.068482771883179,6.979872182949011,8.067172272165951,10.503883425578431,14.290211544454994,20.979379527562052,20.669734641480467,19.420236739027583,16.481302924890034,250.85816955566406
2019-03-04,5.958392699206979,5.574410262275312,8.293955493462239,10.527746900654641,12.650759439686682,20.825069102420564,20.679830964271964,19.425256469763603,16.48266899584685,249.94558715820312
2019-03-05,6.0189497910507255,5.635425793907379,8.112990512564318,10.009472420553566,10.051160426850975,19.691009939847557,20.666051043673132,19.42430201014421,16.481257124690334,249.60560607910156
2019-03-06,7.331535197716729,6.40266585934039,8.436766330277592,9.237938520436794,10.17960625368549,19.734821620103,20.673828415400543,19.43688573107771,16.49674842747131,248.09373474121094
2019-03-07,8.90998481862275,7.441289510005271,9.020109851693329,9.695462708346582,10.341189426689294,19.194667584009444,20.071732799528984,19.47287439786759,16.525303038077855,246.01837158203125
