maturity,strike,price
0.2935897435897436,124,0.15063778063054878
0.2935897435897436,126,0.10318053467473831
0.2935897435897436,128,0.06986645419630277
0.2935897435897436,130,0.046786655854030856
0.31794871794871793,70,31.105194695723455
0.31794871794871793,72,29.138556072951573
0.31794871794871793,74,27.17415913765295
0.31794871794871793,76,25.21411383317667
0.31794871794871793,78,23.261920077320724
0.31794871794871793,80,21.32296064241794
0.31794871794871793,82,19.404938289329706
0.31794871794871793,84,17.51813733350926
0.31794871794871793,86,15.675392864689869
0.31794871794871793,88,13.891688890191531
0.31794871794871793,90,12.183374130253725
0.31794871794871793,92,10.567064372870746
0.31794871794871793,94,9.058371048778
0.31794871794871793,96,7.670637282808691
0.31794871794871793,98,6.4138644600490196
0.31794871794871793,100,5.293975598583231
0.31794871794871793,102,4.312498189640316
0.31794871794871793,104,3.46667587830283
0.31794871794871793,106,2.7499524941814713
0.31794871794871793,108,2.152725864154924
0.31794871794871793,110,1.6632479819805184
0.31794871794871793,112,1.268551216434311
0.31794871794871793,114,0.9553013249018552
0.31794871794871793,116,0.7105090163448651
0.31794871794871793,118,0.522064864889062
0.31794871794871793,120,0.3790915544498512
0.31794871794871793,122,0.2721292740720971
0.31794871794871793,124,0.19318349241014054
0.31794871794871793,126,0.13567000855360822
0.31794871794871793,128,0.09429182901897448
0.31794871794871793,130,0.06487813458404235
0.3423076923076923,70,31.18971546790297
0.3423076923076923,72,29.22624238504889
0.3423076923076923,74,27.26567158037139
0.3423076923076923,76,25.310475375525826
0.3423076923076923,78,23.364577508516632
0.3423076923076923,80,21.43377979784816
0.3423076923076923,82,19.526100628282066
0.3423076923076923,84,17.65192325490274
0.3423076923076923,86,15.823865603711837
0.3423076923076923,88,14.056323830526807
0.3423076923076923,90,12.364701479211092
0.3423076923076923,92,10.764399812199244
0.3423076923076923,94,9.269695960997822
0.3423076923076923,96,7.8926607952856
0.3423076923076923,98,6.642262309017333
0.3423076923076923,100,5.523766031570375
0.3423076923076923,102,4.538491464427324
0.3423076923076923,104,3.683925918120032
0.3423076923076923,106,2.9541466531135967
0.3423076923076923,108,2.340467431743349
0.3423076923076923,110,1.8322099683290176
0.3423076923076923,112,1.4175031473520505
0.3423076923076923,114,1.0840288343148536
0.3423076923076923,116,0.8196567524002472
0.3423076923076923,118,0.6129365329183383
0.3423076923076923,120,0.45343821934512896
0.3423076923076923,122,0.33195049313854685
0.3423076923076923,124,0.24055765907032445
0.3423076923076923,126,0.172622259777099
0.3423076923076923,128,0.1227011855438982
0.3423076923076923,130,0.08642075617342226
0.36666666666666664,70,31.27435377042019
0.36666666666666664,72,29.314205770317784
0.36666666666666664,74,27.3576804717499
0.36666666666666664,76,25.407594795647285
0.36666666666666664,78,23.468250874019134
0.36666666666666664,80,21.545796166155696
0.36666666666666664,82,19.64847349542471
0.36666666666666664,84,17.786676682169258
0.36666666666666664,86,15.972747291776443
0.36666666666666664,88,14.220487787426904
0.36666666666666664,90,12.544417573752355
0.36666666666666664,92,10.958848511076155
0.36666666666666664,94,9.476892961253355
0.36666666666666664,96,8.109531686088069
0.36666666666666664,98,6.8648585442997145
0.36666666666666664,100,5.747587802271525
0.36666666666666664,102,4.758866349094902
0.36666666666666664,104,3.896387222913752
0.36666666666666664,106,3.154761569351507
0.36666666666666664,108,2.5260794391598687
0.36666666666666664,110,2.000577967673941
0.36666666666666664,112,1.5673373985119703
0.36666666666666664,114,1.2149377603373779
0.36666666666666664,116,0.9320274054162603
0.36666666666666664,118,0.7077748144983449
0.36666666666666664,120,0.5321936875676219
0.36666666666666664,122,0.3963462256389825
0.36666666666666664,124,0.292439737939465
0.36666666666666664,126,0.2138373395039297
0.36666666666666664,128,0.1550052430246116
0.36666666666666664,130,0.11141801725298484
0.391025641025641,70,31.35913689196363
0.391025641025641,72,29.40247270841921
0.391025641025641,74,27.45019848519466
0.391025641025641,76,25.505452649066655
0.391025641025641,78,23.572869450992997
0.391025641025641,80,21.658875170392577
0.391025641025641,82,19.771860701856014
0.391025641025641,84,17.922162571066792
0.391025641025641,86,16.121807322707127
0.391025641025641,88,14.38401135654901
0.391025641025641,90,12.722471490400935
0.391025641025641,92,11.150520559235474
0.391025641025641,94,9.68024805519633
0.391025641025641,96,8.321692700154216
0.391025641025641,98,7.082201368726004
0.391025641025641,100,5.966020940287962
0.391025641025641,102,4.97415339064964
0.391025641025641,104,4.104467486563436
0.391025641025641,106,3.3520294445648986
0.391025641025641,108,2.7095941126503895
0.391025641025641,110,2.168189111987946
0.391025641025641,112,1.7177259856684373
0.391025641025641,114,1.3475821458466832
0.391025641025641,116,1.0471119699364522
0.391025641025641,118,0.8060615357219003
0.391025641025641,120,0.6148766035110249
